account_id,customer_id,account_type,open_date,credit_limit,status,branch_code
ACC-00000086,CUST-1000086,checking,2022-02-07,0,active,BR-125
ACC-00000087,CUST-1000087,credit_card,2020-05-20,14900,suspended,
ACC-00000089,CUST-1000089,credit_card,2022-01-08,15523,dormant,BR-108
ACC-00000091,CUST-1000091,checking,2024-09-13,0,suspended,BR-159
ACC-00000095,CUST-1000095,credit_card,2024-07-06,2630,active,BR-175
ACC-00000101,CUST-1000101,checking,2025-03-15,0,active,BR-181
ACC-00000103,CUST-1000103,checking,2020-05-22,0,closed,BR-121
ACC-00000108,CUST-1000108,credit_card,2024-11-08,23523,active,BR-139
ACC-00000112,CUST-1000112,checking,2021-10-04,0,active,BR-186
ACC-00000113,CUST-1000113,loan,2025-07-15,18958,active,
ACC-00000115,CUST-1000115,savings,2019-06-23,0,active,BR-137
ACC-00000117,CUST-1000117,credit_card,2025-12-28,44852,active,
ACC-00000118,CUST-1000118,checking,2019-04-10,0,closed,BR-145
ACC-00000119,CUST-1000119,credit_card,2025-11-06,2695,active,BR-199
ACC-00000120,CUST-1000120,savings,2021-09-07,0,active,BR-138
ACC-00000121,CUST-1000121,credit_card,2022-05-31,15821,closed,BR-176
ACC-00000123,CUST-1000123,checking,2019-07-25,0,closed,
ACC-00000124,CUST-1000124,checking,2020-10-17,0,closed,BR-190
ACC-00000125,CUST-1000125,checking,2023-10-29,0,active,BR-145
ACC-00000130,CUST-1000130,savings,2023-04-01,0,active,
ACC-00000131,CUST-1000131,savings,2022-05-14,0,suspended,BR-113
ACC-00000132,CUST-1000132,checking,2024-06-20,0,active,BR-186
ACC-00000133,CUST-1000133,checking,2022-11-26,0,active,BR-182
ACC-00000135,CUST-1000135,loan,2021-04-02,10949,active,BR-172
ACC-00000137,CUST-1000137,savings,2021-02-05,0,closed,BR-162
ACC-00000139,CUST-1000139,checking,2023-10-11,0,active,BR-113
ACC-00000142,CUST-1000142,checking,2025-05-09,0,active,BR-108
ACC-00000143,CUST-1000143,checking,2023-12-22,0,active,
ACC-00000145,CUST-1000145,checking,2023-12-18,0,active,BR-152
ACC-00000147,CUST-1000147,savings,2022-01-29,0,active,BR-140
ACC-00000152,CUST-1000152,checking,2019-10-10,0,closed,BR-161
ACC-00000154,CUST-1000154,savings,2019-05-27,0,active,BR-110
ACC-00000155,CUST-1000155,loan,2019-12-07,9597,active,BR-149
ACC-00000156,CUST-1000156,checking,2020-04-19,0,active,BR-120
ACC-00000161,CUST-1000161,checking,2022-08-04,0,closed,BR-197
ACC-00000163,CUST-1000163,savings,2019-07-17,0,active,
ACC-00000169,CUST-1000169,checking,2021-02-20,0,active,BR-150
ACC-00000172,CUST-1000172,checking,2024-10-14,0,dormant,BR-127
ACC-00000174,CUST-1000174,checking,2019-12-22,0,active,BR-185
ACC-00000176,CUST-1000176,checking,2023-07-27,0,active,BR-154
ACC-00000178,CUST-1000178,checking,2021-04-08,0,active,BR-105
ACC-00000179,CUST-1000179,loan,2025-07-15,48288,active,BR-181
ACC-00000181,CUST-1000181,checking,2021-11-22,0,dormant,BR-126
ACC-00000183,CUST-1000183,loan,2021-06-30,26805,suspended,BR-198
ACC-00000186,CUST-1000186,savings,2022-11-10,0,suspended,BR-112
ACC-00000188,CUST-1000188,savings,2025-02-21,0,active,
ACC-00000189,CUST-1000189,savings,2025-02-13,0,active,BR-142
ACC-00000190,CUST-1000190,checking,2021-03-29,0,active,BR-196
ACC-00000191,CUST-1000191,checking,2023-04-05,0,active,BR-184
ACC-00000192,CUST-1000192,credit_card,2025-06-25,28529,active,BR-163
ACC-00000193,CUST-1000193,loan,2020-07-09,21866,active,BR-153
ACC-00000198,CUST-1000198,credit_card,2024-06-08,8243,dormant,BR-140
ACC-00000201,CUST-1000201,savings,2020-09-09,0,active,
ACC-00000202,CUST-1000202,checking,2020-04-19,0,active,BR-139
ACC-00000204,CUST-1000204,credit_card,2025-06-27,13100,active,BR-160
ACC-00000206,CUST-1000206,checking,2023-08-03,0,active,BR-132
ACC-00000207,CUST-1000207,checking,2025-08-16,0,active,BR-191
ACC-00000208,CUST-1000208,savings,2023-07-06,0,active,BR-107
ACC-00000210,CUST-1000210,checking,2024-02-04,0,dormant,
ACC-00000216,CUST-1000216,checking,2025-11-11,0,active,BR-118
ACC-00000219,CUST-1000219,savings,2019-06-29,0,active,BR-114
ACC-00000222,CUST-1000222,savings,2019-09-02,0,active,BR-174
ACC-00000225,CUST-1000225,checking,2023-02-18,0,active,BR-127
ACC-00000226,CUST-1000226,checking,2025-12-10,0,active,BR-169
ACC-00000230,CUST-1000230,savings,2025-07-07,0,suspended,BR-140
ACC-00000231,CUST-1000231,credit_card,2020-01-26,47675,closed,BR-134
ACC-00000234,CUST-1000234,savings,2023-01-16,0,active,BR-161
ACC-00000235,CUST-1000235,checking,2023-09-05,0,active,BR-194
ACC-00000236,CUST-1000236,credit_card,2020-05-28,20942,active,BR-123
ACC-00000238,CUST-1000238,checking,2023-06-28,0,active,BR-117
ACC-00000242,CUST-1000242,loan,2023-08-03,12669,active,BR-197
ACC-00000243,CUST-1000243,credit_card,2025-06-04,16916,active,BR-166
ACC-00000246,CUST-1000246,loan,2020-09-16,11878,active,BR-147
ACC-00000248,CUST-1000248,credit_card,2021-08-26,3985,active,BR-199
ACC-00000249,CUST-1000249,loan,2022-05-24,33369,suspended,BR-123
ACC-00000251,CUST-1000251,checking,2024-07-12,0,active,BR-106
ACC-00000252,CUST-1000252,checking,2022-03-06,0,active,
ACC-00000254,CUST-1000254,checking,2023-05-28,0,active,BR-128
ACC-00000256,CUST-1000256,savings,2020-01-11,0,active,BR-142
ACC-00000259,CUST-1000259,savings,2019-07-18,0,active,BR-163
ACC-00000261,CUST-1000261,savings,2019-03-07,0,active,BR-155
ACC-00000262,CUST-1000262,loan,2024-01-02,28340,active,BR-164
ACC-00000266,CUST-1000266,credit_card,2020-11-15,43933,active,BR-125
ACC-00000268,CUST-1000268,credit_card,2019-08-09,20363,active,
ACC-00000270,CUST-1000270,checking,2024-05-14,0,suspended,
ACC-00000271,CUST-1000271,credit_card,2019-07-02,46536,active,BR-114
ACC-00000272,CUST-1000272,credit_card,2020-12-12,4968,closed,BR-141
ACC-00000275,CUST-1000275,savings,2021-10-23,0,active,BR-167
ACC-00000277,CUST-1000277,credit_card,2023-05-17,17279,active,BR-176
ACC-00000280,CUST-1000280,credit_card,2024-09-09,39215,active,BR-136
ACC-00000282,CUST-1000282,checking,2020-10-27,0,active,BR-185
ACC-00000283,CUST-1000283,checking,2023-08-03,0,active,BR-186
ACC-00000284,CUST-1000284,checking,2020-02-16,0,active,BR-141
ACC-00000286,CUST-1000286,checking,2023-11-10,0,suspended,
ACC-00000292,CUST-1000292,checking,2025-11-13,0,active,BR-150
ACC-00000293,CUST-1000293,credit_card,2022-06-18,6850,active,BR-198
ACC-00000295,CUST-1000295,checking,2019-10-21,0,closed,
ACC-00000302,CUST-1000302,savings,2022-12-21,0,suspended,BR-120
ACC-00000305,CUST-1000305,credit_card,2024-09-23,41214,active,BR-140
ACC-00000307,CUST-1000307,savings,2024-06-30,0,active,BR-118
ACC-00000308,CUST-1000308,checking,2019-11-02,0,closed,BR-151
ACC-00000309,CUST-1000309,credit_card,2019-07-08,9519,active,BR-154
ACC-00000310,CUST-1000310,checking,2022-06-04,0,closed,BR-174
ACC-00000314,CUST-1000314,loan,2019-12-06,27375,closed,BR-177
ACC-00000317,CUST-1000317,savings,2020-08-13,0,active,BR-134
ACC-00000324,CUST-1000324,checking,2022-12-08,0,active,BR-112
ACC-00000329,CUST-1000329,savings,2023-09-06,0,active,BR-109
ACC-00000330,CUST-1000330,checking,2019-11-01,0,active,BR-120
ACC-00000331,CUST-1000331,checking,2019-06-07,0,active,BR-165
ACC-00000332,CUST-1000332,credit_card,2024-07-19,25486,active,BR-134
ACC-00000335,CUST-1000335,checking,2019-10-17,0,dormant,BR-107
ACC-00000337,CUST-1000337,credit_card,2021-01-04,49356,active,
ACC-00000338,CUST-1000338,credit_card,2020-05-31,27096,active,
ACC-00000339,CUST-1000339,savings,2022-06-16,0,active,BR-136
ACC-00000340,CUST-1000340,checking,2023-02-17,0,active,BR-136
ACC-00000341,CUST-1000341,savings,2023-02-04,0,active,
ACC-00000342,CUST-1000342,savings,2020-10-26,0,active,BR-159
ACC-00000343,CUST-1000343,checking,2022-05-30,0,closed,BR-100
ACC-00000344,CUST-1000344,savings,2019-07-02,0,active,BR-165
ACC-00000345,CUST-1000345,checking,2020-05-26,0,active,BR-122
ACC-00000347,CUST-1000347,savings,2019-01-07,0,active,BR-103
ACC-00000348,CUST-1000348,checking,2022-04-27,0,active,BR-174
ACC-00000349,CUST-1000349,checking,2021-04-03,0,dormant,BR-102
ACC-00000350,CUST-1000350,savings,2025-09-02,0,active,BR-176
ACC-00000351,CUST-1000351,savings,2025-09-05,0,closed,BR-133
ACC-00000352,CUST-1000352,credit_card,2022-11-14,42115,active,
ACC-00000353,CUST-1000353,savings,2021-06-05,0,active,BR-115
ACC-00000355,CUST-1000355,checking,2024-12-04,0,active,BR-115
ACC-00000356,CUST-1000356,savings,2025-03-19,0,closed,BR-165
ACC-00000359,CUST-1000359,loan,2024-08-18,6592,active,BR-138
ACC-00000361,CUST-1000361,checking,2023-02-21,0,suspended,BR-154
ACC-00000367,CUST-1000367,loan,2023-12-05,18270,active,BR-185
ACC-00000368,CUST-1000368,loan,2025-04-04,28649,suspended,BR-154
ACC-00000370,CUST-1000370,checking,2019-07-09,0,active,BR-199
ACC-00000373,CUST-1000373,checking,2019-06-27,0,closed,BR-152
ACC-00000375,CUST-1000375,checking,2023-12-20,0,active,
ACC-00000378,CUST-1000378,checking,2023-07-09,0,active,BR-177
ACC-00000379,CUST-1000379,credit_card,2020-05-04,34489,active,BR-197
ACC-00000382,CUST-1000382,savings,2019-09-06,0,active,
ACC-00000383,CUST-1000383,savings,2020-07-31,0,dormant,BR-125
ACC-00000384,CUST-1000384,credit_card,2019-08-01,10104,active,BR-185
ACC-00000385,CUST-1000385,credit_card,2024-01-23,1870,active,BR-186
ACC-00000387,CUST-1000387,checking,2024-09-28,0,active,
ACC-00000389,CUST-1000389,credit_card,2022-06-08,40519,dormant,BR-110
ACC-00000392,CUST-1000392,savings,2021-02-03,0,active,BR-199
ACC-00000394,CUST-1000394,credit_card,2024-01-22,34885,active,BR-148
ACC-00000396,CUST-1000396,loan,2024-04-08,45369,closed,BR-136
ACC-00000397,CUST-1000397,credit_card,2019-09-12,36596,suspended,BR-186
ACC-00000398,CUST-1000398,savings,2022-07-26,0,active,BR-132
ACC-00000399,CUST-1000399,credit_card,2024-08-04,30866,active,BR-188
ACC-00000401,CUST-1000401,checking,2023-10-23,0,active,BR-184
ACC-00000403,CUST-1000403,savings,2021-09-09,0,suspended,BR-123
ACC-00000404,CUST-1000404,credit_card,2021-03-21,14878,active,BR-116
ACC-00000405,CUST-1000405,checking,2020-09-26,0,active,BR-124
ACC-00000406,CUST-1000406,credit_card,2024-09-11,40760,active,BR-120
ACC-00000408,CUST-1000408,checking,2021-09-03,0,closed,BR-141
ACC-00000410,CUST-1000410,checking,2021-04-05,0,closed,BR-140
ACC-00000411,CUST-1000411,checking,2022-05-14,0,active,BR-117
ACC-00000412,CUST-1000412,loan,2020-02-11,47546,active,BR-198
ACC-00000416,CUST-1000416,savings,2022-11-21,0,suspended,BR-115
ACC-00000417,CUST-1000417,checking,2021-09-09,0,suspended,
ACC-00000422,CUST-1000422,credit_card,2024-04-13,32923,active,BR-107
ACC-00000423,CUST-1000423,checking,2023-10-16,0,active,BR-117
ACC-00000425,CUST-1000425,checking,2019-08-16,0,dormant,BR-120
ACC-00000426,CUST-1000426,savings,2023-07-29,0,dormant,BR-153
ACC-00000429,CUST-1000429,checking,2021-04-03,0,active,
ACC-00000430,CUST-1000430,checking,2020-02-16,0,closed,BR-148
ACC-00000432,CUST-1000432,credit_card,2019-08-02,40390,active,BR-146
ACC-00000433,CUST-1000433,savings,2021-01-28,0,active,BR-145
ACC-00000434,CUST-1000434,checking,2022-02-22,0,active,BR-123
ACC-00000436,CUST-1000436,credit_card,2020-05-05,13852,active,BR-109
ACC-00000437,CUST-1000437,checking,2022-09-23,0,active,
ACC-00000443,CUST-1000443,checking,2024-07-24,0,active,BR-127
ACC-00000447,CUST-1000447,loan,2025-12-13,35485,active,
ACC-00000448,CUST-1000448,credit_card,2023-09-20,20456,closed,BR-133
ACC-00000450,CUST-1000450,checking,2024-08-23,0,active,
ACC-00000457,CUST-1000457,checking,2023-09-15,0,active,BR-172
ACC-00000459,CUST-1000459,checking,2021-04-26,0,active,BR-188
ACC-00000462,CUST-1000462,savings,2020-10-16,0,active,BR-128
ACC-00000463,CUST-1000463,credit_card,2025-02-07,47922,active,BR-197
ACC-00000471,CUST-1000471,checking,2021-02-19,0,active,
ACC-00000476,CUST-1000476,credit_card,2021-05-09,18888,active,BR-176
ACC-00000477,CUST-1000477,checking,2019-05-17,0,closed,
ACC-00000480,CUST-1000480,savings,2025-07-23,0,active,BR-151
ACC-00000489,CUST-1000489,loan,2022-08-21,14304,active,BR-114
ACC-00000491,CUST-1000491,savings,2019-01-31,0,active,BR-105
ACC-00000495,CUST-1000495,savings,2020-04-08,0,active,BR-102
ACC-00000499,CUST-1000499,loan,2023-12-15,19074,active,BR-110
ACC-00000500,CUST-1000500,loan,2023-09-13,16549,closed,BR-169
ACC-00000501,CUST-1000501,savings,2020-04-05,0,active,BR-167
ACC-00000502,CUST-1000502,savings,2022-08-28,0,active,BR-147
ACC-00000503,CUST-1000503,checking,2020-01-31,0,active,BR-158
ACC-00000504,CUST-1000504,credit_card,2019-05-10,30963,active,BR-175
ACC-00000506,CUST-1000506,checking,2022-02-06,0,active,BR-186
ACC-00000507,CUST-1000507,loan,2025-10-09,26920,active,
ACC-00000510,CUST-1000510,credit_card,2020-10-14,17061,active,BR-128
ACC-00000513,CUST-1000513,loan,2024-09-03,29810,dormant,BR-165
ACC-00000518,CUST-1000518,credit_card,2022-06-16,23800,closed,BR-180
ACC-00000519,CUST-1000519,loan,2024-04-12,44423,active,BR-187
ACC-00000521,CUST-1000521,savings,2020-04-25,0,active,BR-108
ACC-00000524,CUST-1000524,credit_card,2025-10-21,10940,active,BR-142
ACC-00000526,CUST-1000526,savings,2020-07-04,0,active,BR-165
ACC-00000527,CUST-1000527,savings,2022-07-04,0,active,BR-147
ACC-00000528,CUST-1000528,checking,2019-03-19,0,active,
ACC-00000530,CUST-1000530,credit_card,2025-04-07,29054,active,BR-112
ACC-00000533,CUST-1000533,loan,2022-07-03,46397,active,BR-126
ACC-00000534,CUST-1000534,savings,2025-10-28,0,active,BR-100
ACC-00000543,CUST-1000543,checking,2019-12-02,0,active,
ACC-00000544,CUST-1000544,savings,2022-04-03,0,active,BR-119
ACC-00000545,CUST-1000545,savings,2019-05-01,0,dormant,BR-109
ACC-00000553,CUST-1000553,savings,2025-12-24,0,closed,BR-198
ACC-00000554,CUST-1000554,savings,2025-10-07,0,closed,BR-118
ACC-00000555,CUST-1000555,credit_card,2020-12-08,5917,active,BR-170
ACC-00000562,CUST-1000562,checking,2021-05-15,0,active,BR-145
ACC-00000565,CUST-1000565,checking,2021-05-17,0,closed,BR-136
ACC-00000566,CUST-1000566,savings,2021-12-26,0,active,BR-123
ACC-00000568,CUST-1000568,savings,2023-05-02,0,active,BR-197
ACC-00000573,CUST-1000573,checking,2019-03-27,0,active,BR-194
ACC-00000576,CUST-1000576,loan,2020-07-08,27762,active,BR-156
ACC-00000577,CUST-1000577,checking,2023-12-09,0,active,BR-106
ACC-00000579,CUST-1000579,savings,2019-04-29,0,active,BR-102
ACC-00000580,CUST-1000580,checking,2019-12-03,0,active,BR-185
ACC-00000581,CUST-1000581,savings,2024-01-28,0,active,BR-191
ACC-00000582,CUST-1000582,loan,2022-09-12,28796,active,BR-135
ACC-00000584,CUST-1000584,checking,2025-03-13,0,active,BR-157
ACC-00000586,CUST-1000586,checking,2021-09-01,0,active,BR-126
ACC-00000587,CUST-1000587,checking,2022-09-17,0,active,BR-156
ACC-00000589,CUST-1000589,checking,2023-05-08,0,active,BR-138
ACC-00000590,CUST-1000590,checking,2019-12-26,0,active,BR-121
ACC-00000594,CUST-1000594,checking,2021-03-02,0,active,BR-173
ACC-00000595,CUST-1000595,credit_card,2019-05-18,24666,active,
ACC-00000598,CUST-1000598,checking,2019-01-06,0,active,
ACC-00000600,CUST-1000600,checking,2025-11-10,0,closed,
ACC-00000602,CUST-1000602,checking,2024-11-03,0,active,BR-150
ACC-00000603,CUST-1000603,checking,2025-02-13,0,active,BR-187
ACC-00000605,CUST-1000605,checking,2025-04-08,0,active,BR-169
ACC-00000607,CUST-1000607,checking,2020-09-04,0,active,BR-156
ACC-00000612,CUST-1000612,credit_card,2021-10-22,26662,active,BR-148
ACC-00000614,CUST-1000614,checking,2021-09-02,0,active,BR-163
ACC-00000615,CUST-1000615,credit_card,2024-08-23,46159,active,BR-166
ACC-00000616,CUST-1000616,loan,2020-01-23,35642,active,BR-199
ACC-00000617,CUST-1000617,checking,2025-02-14,0,dormant,BR-167
ACC-00000618,CUST-1000618,checking,2021-07-22,0,active,BR-182
ACC-00000620,CUST-1000620,credit_card,2021-08-18,38531,active,
ACC-00000622,CUST-1000622,checking,2022-06-22,0,active,BR-103
ACC-00000629,CUST-1000629,checking,2020-08-19,0,active,BR-118
ACC-00000632,CUST-1000632,credit_card,2022-03-23,12410,active,BR-143
ACC-00000633,CUST-1000633,savings,2024-10-05,0,active,BR-121
ACC-00000634,CUST-1000634,savings,2025-05-13,0,active,BR-171
ACC-00000635,CUST-1000635,checking,2020-06-24,0,suspended,BR-155
ACC-00000637,CUST-1000637,savings,2023-11-04,0,active,BR-150
ACC-00000642,CUST-1000642,checking,2021-08-02,0,closed,BR-105
ACC-00000643,CUST-1000643,checking,2021-06-10,0,active,
ACC-00000644,CUST-1000644,checking,2020-10-15,0,active,BR-168
ACC-00000649,CUST-1000649,credit_card,2024-07-27,2051,active,BR-165
ACC-00000650,CUST-1000650,savings,2021-09-28,0,active,BR-138
ACC-00000652,CUST-1000652,savings,2022-10-04,0,active,BR-106
ACC-00000654,CUST-1000654,credit_card,2024-09-30,45993,active,BR-153
ACC-00000657,CUST-1000657,checking,2023-01-10,0,active,BR-156
ACC-00000659,CUST-1000659,savings,2025-10-09,0,active,BR-173
ACC-00000660,CUST-1000660,savings,2025-04-05,0,active,BR-105
ACC-00000661,CUST-1000661,checking,2020-06-11,0,active,BR-127
ACC-00000664,CUST-1000664,,2021-05-31,0,active,BR-190
ACC-00000665,CUST-1000665,checking,2023-05-21,0,dormant,BR-170
ACC-00000666,CUST-1000666,checking,2024-08-24,0,closed,BR-109
ACC-00000667,CUST-1000667,checking,2024-05-20,0,active,BR-134
ACC-00000669,CUST-1000669,checking,2021-11-07,0,active,BR-121
ACC-00000671,CUST-1000671,checking,2025-12-17,0,active,
ACC-00000672,CUST-1000672,credit_card,2025-05-22,12382,closed,
ACC-00000673,CUST-1000673,checking,2020-12-30,0,closed,BR-190
ACC-00000674,CUST-1000674,savings,2024-09-21,0,closed,
ACC-00000675,CUST-1000675,savings,2021-08-22,0,active,BR-183
ACC-00000680,CUST-1000680,credit_card,2019-03-17,45757,active,BR-172
ACC-00000685,CUST-1000685,loan,2025-07-15,30964,active,BR-188
ACC-00000686,CUST-1000686,savings,2019-08-15,0,closed,BR-178
ACC-00000688,CUST-1000688,checking,2022-07-11,0,suspended,BR-121
ACC-00000689,CUST-1000689,credit_card,2024-05-10,1307,active,BR-129
ACC-00000692,CUST-1000692,savings,2025-02-09,0,active,BR-148
ACC-00000698,CUST-1000698,savings,2020-04-03,0,active,BR-126
ACC-00000699,CUST-1000699,checking,2024-07-31,0,dormant,BR-134
ACC-00000700,CUST-1000700,savings,2024-11-06,0,active,BR-184
ACC-00000702,CUST-1000702,checking,2025-05-22,0,active,BR-103
ACC-00000704,CUST-1000704,checking,2019-11-28,0,active,BR-118
ACC-00000706,CUST-1000706,loan,2022-08-13,4359,active,BR-140
ACC-00000708,CUST-1000708,credit_card,2020-06-30,30648,active,BR-138
ACC-00000711,CUST-1000711,credit_card,2023-05-29,36944,active,BR-162
ACC-00000713,CUST-1000713,savings,2019-06-06,0,active,
ACC-00000714,CUST-1000714,savings,2023-09-28,0,active,BR-174
ACC-00000715,CUST-1000715,checking,2021-02-13,0,active,BR-166
ACC-00000716,CUST-1000716,loan,2020-01-13,35019,dormant,BR-132
ACC-00000717,CUST-1000717,credit_card,2022-11-19,39134,active,BR-181
ACC-00000719,CUST-1000719,checking,2025-10-25,0,dormant,BR-118
ACC-00000724,CUST-1000724,credit_card,2024-01-25,31971,active,BR-150
ACC-00000725,CUST-1000725,savings,2021-09-12,0,active,BR-180
ACC-00000726,CUST-1000726,credit_card,2025-06-04,26954,active,BR-105
ACC-00000731,CUST-1000731,checking,2023-04-18,0,active,BR-101
ACC-00000733,CUST-1000733,savings,2023-08-30,0,active,BR-139
ACC-00000734,CUST-1000734,savings,2022-10-17,0,active,BR-136
ACC-00000737,CUST-1000737,checking,2023-01-14,0,active,BR-157
ACC-00000738,CUST-1000738,credit_card,2022-10-30,5891,active,
ACC-00000739,CUST-1000739,savings,2021-03-16,0,active,BR-106
ACC-00000742,CUST-1000742,checking,2024-06-04,0,active,BR-100
ACC-00000743,CUST-1000743,credit_card,2021-05-11,5992,active,BR-177
ACC-00000748,CUST-1000748,savings,2024-05-01,0,active,BR-120
ACC-00000754,CUST-1000754,checking,2021-06-06,0,active,BR-122
ACC-00000755,CUST-1000755,checking,2020-12-29,0,dormant,BR-160
ACC-00000756,CUST-1000756,credit_card,2021-04-24,11848,closed,BR-151
ACC-00000757,CUST-1000757,savings,2021-11-09,0,dormant,BR-154
ACC-00000758,CUST-1000758,savings,2021-09-20,0,active,BR-154
ACC-00000767,CUST-1000767,credit_card,2025-01-03,40281,active,BR-175
ACC-00000771,CUST-1000771,checking,2022-06-20,0,active,BR-131
ACC-00000772,CUST-1000772,credit_card,2021-10-25,45523,active,BR-122
ACC-00000773,CUST-1000773,checking,2023-08-13,0,closed,BR-184
ACC-00000778,CUST-1000778,credit_card,2022-07-29,17567,active,BR-177
ACC-00000782,CUST-1000782,savings,2024-11-30,0,suspended,
ACC-00000783,CUST-1000783,checking,2019-03-02,0,active,
ACC-00000784,CUST-1000784,checking,2025-07-06,0,active,BR-127
ACC-00000786,CUST-1000786,loan,2022-03-27,23999,closed,BR-161
ACC-00000792,CUST-1000792,savings,2022-04-26,0,active,
ACC-00000795,CUST-1000795,checking,2025-05-11,0,active,BR-138
ACC-00000797,CUST-1000797,loan,2023-08-24,41446,active,BR-112
ACC-00000799,CUST-1000799,savings,2024-02-18,0,active,BR-157
ACC-00000800,CUST-1000800,loan,2020-11-16,32521,active,BR-152
ACC-00000802,CUST-1000802,checking,2020-11-12,0,active,BR-124
ACC-00000804,CUST-1000804,savings,2022-09-16,0,active,BR-131
ACC-00000806,CUST-1000806,credit_card,2019-04-01,2273,active,
ACC-00000807,CUST-1000807,loan,2022-04-23,28543,active,BR-155
ACC-00000808,CUST-1000808,loan,2021-11-10,32349,active,BR-185
ACC-00000816,CUST-1000816,savings,2020-02-01,0,dormant,BR-150
ACC-00000820,CUST-1000820,checking,2022-05-09,0,active,BR-135
ACC-00000821,CUST-1000821,credit_card,2024-01-13,45041,active,BR-156
ACC-00000831,CUST-1000831,checking,2019-06-06,0,dormant,BR-190
ACC-00000835,CUST-1000835,savings,2020-10-19,0,closed,BR-160
ACC-00000836,CUST-1000836,savings,2022-11-13,0,active,BR-147
ACC-00000840,CUST-1000840,savings,2022-03-23,0,active,BR-195
ACC-00000841,CUST-1000841,checking,2021-05-14,0,active,BR-180
ACC-00000842,CUST-1000842,savings,2025-05-25,0,active,
ACC-00000843,CUST-1000843,checking,2022-08-02,0,active,
ACC-00000844,CUST-1000844,loan,2021-02-22,42988,active,BR-170
ACC-00000848,CUST-1000848,loan,2025-05-16,22698,active,BR-120
ACC-00000851,CUST-1000851,checking,2021-12-23,0,active,BR-175
ACC-00000852,CUST-1000852,credit_card,2020-11-27,20738,closed,BR-112
ACC-00000853,CUST-1000853,checking,2024-07-12,0,closed,BR-115
ACC-00000854,CUST-1000854,credit_card,2019-08-02,11703,closed,BR-158
ACC-00000855,CUST-1000855,checking,2025-08-24,0,suspended,BR-158
ACC-00000856,CUST-1000856,checking,2024-07-17,0,active,
ACC-00000857,CUST-1000857,checking,2019-05-06,0,active,BR-143
ACC-00000858,CUST-1000858,savings,2025-06-01,0,active,BR-179
ACC-00000859,CUST-1000859,savings,2019-04-07,0,closed,
ACC-00000861,CUST-1000861,credit_card,2020-09-11,49240,active,BR-122
ACC-00000867,CUST-1000867,checking,2023-01-11,0,active,BR-127
