account_id,customer_id,account_type,open_date,credit_limit,status,branch_code,fico_score,credit_history_months,num_inquiries_6mo,num_delinquencies_24mo,credit_utilization_pct,num_active_credit_lines,annual_income,employment_status,employment_tenure_months,debt_to_income_ratio,age,zip_code,region,account_tenure_months,default_probability,defaulted,default_date
ACC-00000113,CUST-1000113,checking,2022-01-08,0,closed,,772.0,63,1,2,25.5,4,27418.0,retired,22,16.1,66,90020,A,24,0.034,0,
ACC-00000114,CUST-1000114,credit_card,2019-10-03,43917,active,,569.0,85,2,1,53.7,5,50338.0,employed,38,23.3,45,70044,C,51,0.1392,0,
ACC-00000115,CUST-1000115,checking,2019-09-15,0,active,BR-144,524.0,32,0,1,47.7,6,19480.0,employed,108,24.7,27,70095,C,52,0.1392,0,
ACC-00000116,CUST-1000116,savngs,09/07/2022,0,active,BR-142,683.0,69,2,0,12.1,7,56694.0,retired,15,19.1,47,80073,B,16,0.0429,0,
ACC-00000117,CUST-1000117,savings,2019-01-27,0,active,BR-172,746.0,64,2,1,29.6,2,62310.0,employed,12,12.2,45,90039,A,60,0.0325,0,
ACC-00000118,CUST-1000118,savings,2023-07-23,0,active,BR-116,616.0,16,1,1,2.0,2,59199.0,employed,48,4.9,60,80066,B,5,0.0762,0,
ACC-00000119,CUST-1000119,checking,2022-03-18,0,dormant,BR-164,549.0,23,3,0,44.1,3,38268.0,employed,6,11.2,62,80083,B,21,0.0775,0,
ACC-00000120,CUST-1000120,loan,2019-08-17,27292,active,BR-103,841.0,76,0,0,10.3,3,32751.0,employed,24,29.2,45,80089,B,53,0.0042,0,
ACC-00000121,CUST-1000121,loan,2023-08-26,26723,active,BR-173,746.0,31,2,1,10.0,6,76126.0,employed,75,19.6,51,90074,A,4,0.0328,0,
ACC-00000122,CUST-1000122,checking,2022-06-09,0,active,BR-109,554.0,17,3,0,37.9,2,104186.0,employed,41,13.5,35,70077,C,19,0.1177,0,
ACC-00000123,CUST-1000123,checking,2019-04-01,0,active,BR-196,806.0,33,0,0,36.4,7,37168.0,employed,6,20.7,40,80091,B,57,0.0136,0,
ACC-00000124,CUST-1000124,savngs,2021-09-28,0,active,,670.0,91,1,0,80.8,2,88920.0,self_employed,6,7.2,48,70024,C,27,0.0747,0,
ACC-00000125,CUST-1000125,loan,2021-03-26,7796,closed,BR-160,665.0,49,1,2,31.3,6,43364.0,self_employed,26,23.0,47,80029,B,33,0.1033,0,
ACC-00000126,CUST-1000126,loan,2023-01-08,15649,active,BR-121,794.0,59,1,2,52.4,6,59977.0,employed,49,8.7,34,80098,B,11,0.0326,0,
ACC-00000127,CUST-1000127,checking,2019-04-13,0,active,BR-179,586.0,50,1,0,50.1,4,72525.0,self_employed,42,8.4,31,80003,B,57,0.0706,0,
ACC-00000128,CUST-1000128,savings,2023-10-11,0,active,,631.0,92,1,1,14.8,6,98115.0,employed,53,9.6,54,90084,A,2,0.062,0,
ACC-00000129,CUST-1000129,credit_card,2021-11-06,4463,active,BR-158,831.0,13,1,0,54.7,8,57991.0,employed,12,13.3,33,90044,A,26,0.0057,0,
ACC-00000130,CUST-1000130,checking,2022-07-10,0,active,,731.0,26,1,0,15.5,3,15000.0,self_employed,159,45.1,60,90039,A,18,0.0306,0,
ACC-00000131,CUST-1000131,credit_card,2021-12-18,31911,active,BR-107,714.0,33,0,0,1.4,5,39684.0,retired,19,17.0,41,70011,C,24,0.0504,0,
ACC-00000132,CUST-1000132,checking,2019-03-15,0,closed,BR-103,705.0,150,2,0,17.8,8,52433.0,employed,35,14.6,80,90062,A,58,0.0293,0,
ACC-00000133,CUST-1000133,savings,2020-05-24,0,active,BR-149,633.0,113,1,0,3.3,4,37455.0,employed,12,32.9,41,80092,B,43,0.0601,0,
ACC-00000134,CUST-1000134,credit_card,2022-07-25,26764,active,,801.0,98,3,1,36.9,6,82042.0,retired,34,2.1,53,80054,B,17,0.019,0,
ACC-00000135,CUST-1000135,loan,2019-07-19,43184,active,BR-141,796.0,115,2,0,14.0,5,128528.0,employed,51,9.7,50,90067,A,54,0.0111,0,
ACC-00000136,CUST-1000136,checking,2020-03-23,0,active,BR-156,709.0,41,1,0,15.2,6,16884.0,employed,56,20.6,71,80018,B,45,0.0373,1,2024-02-28
ACC-00000137,CUST-1000137,savings,2022-03-02,0,active,BR-118,643.0,44,0,0,31.0,6,34894.0,employed,32,33.8,46,90060,A,22,0.05,0,
ACC-00000138,CUST-1000138,checking,2020-12-31,0,active,BR-183,644.0,77,0,2,21.5,8,32098.0,unemployed,0,18.2,64,90029,A,36,0.0857,0,
ACC-00000139,CUST-1000139,savings,2019-09-01,0,active,BR-129,683.0,42,1,3,35.1,2,49639.0,employed,84,20.6,80,70001,C,52,0.1392,0,
ACC-00000140,CUST-1000140,savings,2019-06-27,0,suspended,BR-151,675.0,155,2,1,39.9,4,24055.0,employed,81,15.2,61,70069,C,54,0.1056,0,
ACC-00000141,CUST-1000141,checking,2023-05-31,0,active,BR-195,660.0,88,1,0,30.9,8,15000.0,employed,36,17.3,41,70036,C,7,0.0757,0,
ACC-00000142,CUST-1000142,checking,04/18/2022,0,closed,BR-145,718.0,23,2,0,49.5,3,101021.0,employed,51,16.5,35,80094,B,20,0.0381,0,
ACC-00000143,CUST-1000143,loan,2023-07-29,35815,active,BR-179,677.0,76,1,0,38.8,6,50034.0,employed,10,8.0,28,80097,B,5,0.046,0,
ACC-00000144,CUST-1000144,savings,2021-08-09,0,active,BR-198,805.0,35,1,0,38.0,2,21641.0,employed,27,35.6,70,70021,C,29,0.0235,0,
ACC-00000145,CUST-1000145,savings,2020-03-30,0,active,BR-197,817.0,21,1,0,55.3,5,90556.0,student,0,16.0,53,80005,B,45,0.0108,0,
ACC-00000146,CUST-1000146,credit_card,2021-06-23,14622,active,BR-181,713.0,82,0,0,14.3,4,72239.0,self_employed,25,9.4,52,70066,C,30,0.0493,0,
ACC-00000147,CUST-1000147,credit_card,2022-04-24,41318,active,BR-128,615.0,21,6,0,27.9,4,43441.0,retired,18,6.7,46,90043,A,20,0.0447,1,2024-07-26
ACC-00000148,CUST-1000148,checking,2022-02-18,0,active,BR-167,595.0,40,3,0,29.7,6,23751.0,employed,5,24.1,41,90037,A,22,0.0566,0,
ACC-00000149,CUST-1000149,credit_card,2020-01-28,34619,active,BR-189,701.0,21,5,0,22.7,6,34503.0,employed,12,25.9,59,80015,B,47,0.0419,0,
ACC-00000150,CUST-1000150,credit_card,2023-07-20,10599,active,,691.0,101,3,0,22.0,6,25573.0,employed,26,100.86001785270534,80,70005,C,5,0.0641,0,
ACC-00000151,CUST-1000151,checking,2021-11-15,0,suspended,BR-165,770.0,49,2,0,22.3,7,57205.0,employed,16,4.2,46,80044,B,25,0.0193,0,
ACC-00000152,CUST-1000152,credit_card,2023-05-26,36354,active,BR-105,549.0,37,0,0,54.1,9,82127.0,employed,35,17.0,63,70002,C,7,0.1256,0,
ACC-00000153,CUST-1000153,checking,2020-01-07,0,active,,634.0,63,1,0,30.5,7,,employed,15,26.7,80,80019,B,48,0.0616,0,
ACC-00000154,CUST-1000154,checking,2020-06-02,0,active,BR-183,660.0,138,1,0,43.7,5,51781.0,employed,19,2.9,53,90078,A,43,0.0367,0,
ACC-00000155,CUST-1000155,savings,2022-04-15,0,closed,,691.0,49,0,0,35.1,7,80644.0,self_employed,35,16.1,56,80032,B,20,0.0426,0,
ACC-00000156,CUST-1000156,checking,2022-09-04,0,active,BR-180,731.0,38,5,1,25.4,5,47163.0,employed,50,26.2,79,70071,C,16,0.0769,0,
ACC-00000157,CUST-1000157,savings,2019-07-12,0,closed,BR-163,771.0,141,2,0,23.9,1,100326.0,self_employed,34,3.0,80,80001,B,54,0.019,0,
ACC-00000158,CUST-1000158,credit_card,2020-02-27,27830,suspended,BR-173,736.0,61,1,1,37.3,5,40186.0,employed,14,23.5,47,90031,A,46,0.0398,0,
ACC-00000159,CUST-1000159,savings,2022-11-13,0,active,BR-136,619.0,119,3,0,30.5,4,87482.0,employed,42,7.5,80,90059,A,13,0.0447,0,
ACC-00000160,CUST-1000160,savings,2019-03-06,0,suspended,BR-163,636.0,81,0,0,18.2,5,184454.0,retired,33,13.7,35,90047,A,58,0.0434,0,
ACC-00000161,CUST-1000161,savings,2021-12-21,0,closed,BR-112,638.0,93,0,0,30.3,4,75466.0,employed,69,5.2,45,90038,A,24,0.0402,0,
ACC-00000162,CUST-1000162,credit_card,2022-10-29,45664,active,BR-122,711.0,86,0,0,6.0,6,34805.0,employed,63,26.2,39,70068,C,14,0.0565,1,2024-06-29
ACC-00000163,CUST-1000163,savings,2022-11-02,0,active,BR-163,789.0,10,0,0,46.7,6,18163.0,employed,47,25.9,42,90057,A,14,0.0156,0,
ACC-00000164,CUST-1000164,checking,2021-08-01,0,active,BR-139,624.0,26,1,0,58.0,7,18449.0,employed,5,14.4,33,80086,B,29,0.0647,0,
ACC-00000165,CUST-1000165,savings,2022-08-25,0,active,BR-180,703.0,119,2,2,10.5,10,76747.0,employed,44,13.7,73,80082,B,16,0.0722,0,
